capec,name,parent,child
CAPEC-531,hardware component substitution,CAPEC-534,CAPEC-530; CAPEC-535
CAPEC-532,altered installed bios,CAPEC-444,
CAPEC-533,malicious manual software update,CAPEC-186,
CAPEC-534,malicious hardware update,CAPEC-440,CAPEC-531; CAPEC-677
CAPEC-535,malicious gray market hardware,CAPEC-531,
CAPEC-536,data injected during configuration,CAPEC-176,
CAPEC-537,infiltration of hardware development environment,CAPEC-444,
CAPEC-538,open-source library manipulation,CAPEC-444,
CAPEC-539,asic with malicious functionality,CAPEC-444,
CAPEC-540,overread buffers,CAPEC-123,
CAPEC-541,application fingerprinting,CAPEC-224,CAPEC-170; CAPEC-310; CAPEC-472
CAPEC-542,targeted malware,CAPEC-549,CAPEC-550; CAPEC-551; CAPEC-552; CAPEC-556; CAPEC-558; CAPEC-564; CAPEC-579; CAPEC-698
CAPEC-543,counterfeit websites,CAPEC-194,
CAPEC-544,counterfeit organizations,CAPEC-194,
CAPEC-545,pull data from system resources,CAPEC-116,CAPEC-498; CAPEC-546; CAPEC-634; CAPEC-639
CAPEC-546,incomplete data deletion in a multi-tenant environment,CAPEC-545,
CAPEC-547,physical destruction of device or component,CAPEC-607,
CAPEC-548,contaminate resource,,
CAPEC-549,local execution of code,,CAPEC-542
CAPEC-550,install new service,CAPEC-542,
CAPEC-551,modify existing service,CAPEC-542,
CAPEC-552,install rootkit,CAPEC-542,
CAPEC-554,functionality bypass,,CAPEC-179; CAPEC-464; CAPEC-465
CAPEC-555,remote services with stolen credentials,CAPEC-560,
CAPEC-556,replace file extension handlers,CAPEC-542,
CAPEC-558,replace trusted executable,CAPEC-542,
CAPEC-559,orbital jamming,CAPEC-601,
CAPEC-560,use of known domain credentials,,CAPEC-555; CAPEC-600; CAPEC-652; CAPEC-653
CAPEC-561,windows admin shares with stolen credentials,CAPEC-653,
CAPEC-562,modify shared file,CAPEC-17,
CAPEC-563,add malicious file to shared webroot,CAPEC-17,
CAPEC-564,run software at logon,CAPEC-542,
CAPEC-565,password spraying,CAPEC-49,
CAPEC-568,capture credentials via keylogger,CAPEC-569,
CAPEC-569,collect data as provided by users,CAPEC-116,CAPEC-568
CAPEC-571,block logging to central repository,CAPEC-161,
CAPEC-572,artificially inflate file sizes,CAPEC-165,CAPEC-655
CAPEC-573,process footprinting,CAPEC-169,
CAPEC-574,services footprinting,CAPEC-169,
CAPEC-575,account footprinting,CAPEC-169,
CAPEC-576,group permission footprinting,CAPEC-169,
CAPEC-577,owner footprinting,CAPEC-169,
CAPEC-578,disable security software,CAPEC-176,
CAPEC-579,replace winlogon helper dll,CAPEC-542,
CAPEC-580,system footprinting,CAPEC-169,CAPEC-85; CAPEC-581
CAPEC-581,security software footprinting,CAPEC-580,
CAPEC-582,route disabling,CAPEC-607,CAPEC-583; CAPEC-584; CAPEC-585
CAPEC-583,disabling network hardware,CAPEC-582,
CAPEC-584,bgp route disabling,CAPEC-582,
CAPEC-585,dns domain seizure,CAPEC-582,
CAPEC-586,object injection,,
CAPEC-587,cross frame scripting (xfs),CAPEC-103,
CAPEC-588,dom-based xss,CAPEC-63,CAPEC-18; CAPEC-32; CAPEC-86; CAPEC-198; CAPEC-199; CAPEC-243; CAPEC-244; CAPEC-245; CAPEC-247
CAPEC-589,dns blocking,CAPEC-603,
CAPEC-590,ip address blocking,CAPEC-603,
CAPEC-591,reflected xss,CAPEC-63,CAPEC-18; CAPEC-32; CAPEC-86; CAPEC-198; CAPEC-199; CAPEC-243; CAPEC-244; CAPEC-245; CAPEC-247
CAPEC-592,stored xss,CAPEC-63,CAPEC-18; CAPEC-32; CAPEC-86; CAPEC-198; CAPEC-199; CAPEC-209; CAPEC-243; CAPEC-244; CAPEC-245; CAPEC-247
CAPEC-593,session hijacking,CAPEC-21,CAPEC-60; CAPEC-61; CAPEC-102; CAPEC-107
CAPEC-594,traffic injection,,CAPEC-595
CAPEC-595,connection reset,CAPEC-594,CAPEC-596
CAPEC-596,tcp rst injection,CAPEC-595,
CAPEC-597,absolute path traversal,CAPEC-126,
CAPEC-598,dns spoofing,CAPEC-194,
CAPEC-599,terrestrial jamming,CAPEC-195,
CAPEC-600,credential stuffing,CAPEC-560,
CAPEC-601,jamming,CAPEC-607,CAPEC-559; CAPEC-604; CAPEC-605
CAPEC-603,blockage,CAPEC-607,CAPEC-96; CAPEC-589; CAPEC-590
CAPEC-604,wi-fi jamming,CAPEC-601,
CAPEC-605,cellular jamming,CAPEC-601,
CAPEC-606,weakening of cellular encryption,CAPEC-620,
CAPEC-607,obstruction,,CAPEC-547; CAPEC-582; CAPEC-601; CAPEC-603
CAPEC-608,cryptanalysis of cellular encryption,CAPEC-97,
CAPEC-609,cellular traffic intercept,CAPEC-157,
CAPEC-610,cellular data injection,CAPEC-240,
CAPEC-611,bitsquatting,CAPEC-616,
CAPEC-612,wifi mac address tracking,CAPEC-292,
CAPEC-613,wifi ssid tracking,CAPEC-292,
CAPEC-614,rooting sim cards,CAPEC-186,
CAPEC-615,evil twin wi-fi attack,CAPEC-616,
CAPEC-616,establish rogue location,CAPEC-154,CAPEC-505; CAPEC-611; CAPEC-615; CAPEC-617; CAPEC-630; CAPEC-631; CAPEC-632; CAPEC-667; CAPEC-695
CAPEC-617,cellular rogue base station,CAPEC-616,
CAPEC-618,cellular broadcast message request,CAPEC-292,
CAPEC-619,signal strength tracking,CAPEC-292,
CAPEC-620,drop encryption level,CAPEC-212,CAPEC-606
CAPEC-621,analysis of packet timing and sizes,CAPEC-189,
CAPEC-622,electromagnetic side-channel attack,CAPEC-189,
CAPEC-623,compromising emanations attack,CAPEC-189,
CAPEC-624,hardware fault injection,,CAPEC-625
CAPEC-625,mobile device fault injection,CAPEC-624,
CAPEC-626,smudge attack,CAPEC-395,
CAPEC-627,counterfeit gps signals,CAPEC-148,CAPEC-628
CAPEC-628,carry-off gps attack,CAPEC-627,
CAPEC-630,typosquatting,CAPEC-616,
CAPEC-631,soundsquatting,CAPEC-616,
CAPEC-632,homograph attack via homoglyphs,CAPEC-616,
CAPEC-633,token impersonation,CAPEC-194,
CAPEC-634,probe audio and video peripherals,CAPEC-545; CAPEC-651,
CAPEC-635,alternative execution due to deceptive filenames,CAPEC-165,CAPEC-11; CAPEC-649
CAPEC-636,hiding malicious data or code within files,CAPEC-165,CAPEC-35; CAPEC-168
CAPEC-637,collect data from clipboard,CAPEC-150,
CAPEC-638,altered component firmware,CAPEC-452,
CAPEC-639,probe system files,CAPEC-545,
CAPEC-640,inclusion of code in existing process,CAPEC-251,
CAPEC-641,dll side-loading,CAPEC-159,
CAPEC-642,replace binaries,CAPEC-17,
CAPEC-643,identify shared files/directories on system,CAPEC-309,
CAPEC-644,use of captured hashes (pass the hash),CAPEC-653,
CAPEC-645,use of captured tickets (pass the ticket),CAPEC-652,
CAPEC-646,peripheral footprinting,CAPEC-169,
CAPEC-647,collect data from registries,CAPEC-150,
CAPEC-648,collect data from screen capture,CAPEC-150,
CAPEC-649,adding a space to a file extension,CAPEC-635,
CAPEC-650,upload a web shell to a web server,CAPEC-17,
CAPEC-651,eavesdropping,CAPEC-117,CAPEC-508; CAPEC-634; CAPEC-699
CAPEC-652,use of known kerberos credentials,CAPEC-560,CAPEC-509; CAPEC-645
CAPEC-653,use of known operating system credentials,CAPEC-560,CAPEC-561; CAPEC-644
CAPEC-654,credential prompt impersonation,CAPEC-504,
CAPEC-655,avoid security tool identification by adding data,CAPEC-572,
CAPEC-656,voice phishing,CAPEC-98,
CAPEC-657,malicious automated software update via spoofing,CAPEC-186,
CAPEC-660,root/jailbreak detection evasion via hooking,CAPEC-251,
CAPEC-661,root/jailbreak detection evasion via debugging,CAPEC-121,
CAPEC-662,adversary in the browser (aitb),CAPEC-94,
CAPEC-663,exploitation of transient instruction execution,CAPEC-74; CAPEC-184,CAPEC-696
CAPEC-664,server side request forgery,CAPEC-115,
CAPEC-665,exploitation of thunderbolt protection flaws,CAPEC-276,
CAPEC-666,bluesmacking,CAPEC-125,
CAPEC-667,bluetooth impersonation attacks (bias),CAPEC-616,
CAPEC-668,key negotiation of bluetooth attack (knob),CAPEC-115,
CAPEC-669,alteration of a software update,CAPEC-184,
CAPEC-670,software development tools maliciously altered,CAPEC-444,
CAPEC-671,requirements for asic functionality maliciously altered,CAPEC-447,
CAPEC-672,malicious code implanted during chip programming,CAPEC-444,
CAPEC-673,developer signing maliciously altered software,CAPEC-444,
CAPEC-674,design for fpga maliciously altered,CAPEC-447,
CAPEC-675,retrieve data from decommissioned devices,CAPEC-116,
CAPEC-676,nosql injection,CAPEC-248,
CAPEC-677,server motherboard compromise,CAPEC-534,
CAPEC-678,system build data maliciously altered,CAPEC-444,
CAPEC-679,exploitation of improperly configured or implemented memory protections,CAPEC-1; CAPEC-180,
CAPEC-680,exploitation of improperly controlled registers,CAPEC-1; CAPEC-180,
CAPEC-681,exploitation of improperly controlled hardware security identifiers,CAPEC-1; CAPEC-180,
CAPEC-682,exploitation of firmware or rom code with unpatchable vulnerabilities,CAPEC-212,
CAPEC-690,metadata spoofing,,CAPEC-691
CAPEC-691,spoof open-source software metadata,CAPEC-690,CAPEC-692; CAPEC-693
CAPEC-692,spoof version control system commit metadata,CAPEC-691,
CAPEC-693,starjacking,CAPEC-691,
CAPEC-694,system location discovery,CAPEC-169,
CAPEC-695,repo jacking,CAPEC-616,
CAPEC-696,load value injection,CAPEC-663,
CAPEC-697,dhcp spoofing,CAPEC-194,
CAPEC-698,install malicious extension,CAPEC-542,
CAPEC-699,eavesdropping on a monitor,CAPEC-651,
CAPEC-700,network boundary bridging,CAPEC-161,
CAPEC-701,browser in the middle (bitm),CAPEC-94,
CAPEC-702,exploiting incorrect chaining or granularity of hardware debug components,CAPEC-180,
