cwe_id,cwe_name,description,extended_description,capec_ids,parent_cwe_ids,child_cwe_ids,consequence_scopes,consequence_impacts,consequence_notes,consequence_text,mitigation_phases,mitigation_strategies,mitigation_effectiveness,mitigation_text,detection_methods,detection_effectiveness,detection_text
CWE-1104,Use of Unmaintained Third Party Components,The product relies on third-party components that are not actively supported or maintained by the original developer or a trusted proxy for the original developer.,,,CWE-1357,,Other,"Reduce Maintainability, Varies by Context","Relying on unmaintained components makes it difficult or impossible to fix significant bugs and vulnerabilities, can render code obsolete, and undermine security by complicating maintenance and increasing the risk of new vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Varies by Context | Notes: Relying on unmaintained components makes it difficult or impossible to fix significant bugs and vulnerabilities, can render code obsolete, and undermine security by complicating maintenance and increasing the risk of new vulnerabilities.",,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1105,Insufficient Encapsulation of Machine-Dependent Functionality,"The product or code uses machine-dependent functionality, but it does not sufficiently encapsulate or isolate this functionality from the rest of the code.",,,"CWE-758, CWE-1061",,Other,Reduce Maintainability,"This issue makes it more difficult to port or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to port or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1106,Insufficient Use of Symbolic Constants,"The source code uses literal constants that may need to change or evolve over time, instead of using symbolic constants.",,,CWE-1078,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1107,Insufficient Isolation of Symbolic Constant Definitions,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",,,CWE-1078,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1108,Excessive Reliance on Global Variables,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",,,CWE-1076,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1109,Use of Same Variable for Multiple Purposes,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",,,CWE-1078,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | Use of the same variable for multiple purposes can make it more difficult for a person to read or understand the code, potentially hiding other quality issues.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | Use of the same variable for multiple purposes can make it more difficult for a person to read or understand the code, potentially hiding other quality issues.",,,,,,,
CWE-111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.","Many safety features that programmers may take for granted do not apply for native code, so you must carefully review all such code for potential problems. The languages used to implement native code may be more susceptible to buffer overflows and other attacks. Native code is unprotected by the security features enforced by the runtime environment, such as strong typing and array bounds checking.",,"CWE-695, CWE-20",,Access Control,Bypass Protection Mechanism,,Scopes: Access Control | Impacts: Bypass Protection Mechanism,Implementation,Refactoring,,Implement error handling around the JNI call. | Do not use JNI calls if you don't trust the native library. | Be reluctant to use JNI calls. A Java API equivalent may exist.,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1110,Incomplete Design Documentation,"The product's design documentation does not adequately describe control flow, data flow, system initialization, relationships between tasks, components, rationales, or other important aspects of the design.",,,CWE-1059,,Other,"Reduce Maintainability, Increase Analytical Complexity",,"Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity",,,,,,,
CWE-1111,Incomplete I/O Documentation,"The product's documentation does not adequately define inputs, outputs, or system/software interfaces.",,,CWE-1059,,Other,"Reduce Maintainability, Increase Analytical Complexity",,"Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity",,,,,,,
CWE-1112,Incomplete Documentation of Program Execution,The document does not fully define all mechanisms that are used to control or influence how product-specific programs are executed.,"This includes environmental variables, configuration files, registry keys, command-line switches or options, or system settings.",,CWE-1059,,Other,"Reduce Maintainability, Increase Analytical Complexity",,"Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity",,,,,,,
CWE-1113,Inappropriate Comment Style,The source code uses comment styles or formats that are inconsistent or do not follow expected standards for the product.,,,CWE-1078,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to maintain the product due to insufficient legibility, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to maintain the product due to insufficient legibility, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1114,Inappropriate Whitespace Style,The source code contains whitespace that is inconsistent across the code or does not follow expected standards for the product.,,,CWE-1078,,Other,"Increase Analytical Complexity, Reduce Maintainability","A human auditor might indirectly trust that whitespace (especially indentation) reflects the actual control flow of the code, which could make it more difficult to find vulnerabilities. | This issue makes it more difficult to understand and maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.","Scopes: Other | Impacts: Increase Analytical Complexity, Reduce Maintainability | Notes: A human auditor might indirectly trust that whitespace (especially indentation) reflects the actual control flow of the code, which could make it more difficult to find vulnerabilities. | This issue makes it more difficult to understand and maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.",,,,,,,
CWE-1115,Source Code Element without Standard Prologue,The source code contains elements such as source files that do not consistently provide a prologue or header that has been standardized for the project.,"Standard prologues or headers may contain information such as module name, version number, author, date, purpose, function, assumptions, limitations, accuracy considerations, etc.",,CWE-1078,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to maintain the product due to insufficient analyzability, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | The lack of a prologue can make it more difficult to accurately and quickly understand the associated code.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to maintain the product due to insufficient analyzability, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | The lack of a prologue can make it more difficult to accurately and quickly understand the associated code.",,,,,,,
CWE-1116,Inaccurate Source Code Comments,The source code contains comments that do not accurately describe or explain aspects of the portion of the code with which the comment is associated.,,,CWE-1078,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | When a comment does not accurately reflect the associated code elements, this can introduce confusion to a reviewer (due to inconsistencies) or make it more difficult and less efficient to validate that the code is implementing the intended behavior correctly.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | When a comment does not accurately reflect the associated code elements, this can introduce confusion to a reviewer (due to inconsistencies) or make it more difficult and less efficient to validate that the code is implementing the intended behavior correctly.",Implementation,,,Verify that each comment accurately reflects what is intended to happen during execution of the code.,,,
CWE-1117,Callable with Insufficient Behavioral Summary,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",,,CWE-1078,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1118,Insufficient Documentation of Error Handling Techniques,"The documentation does not sufficiently describe the techniques that are used for error handling, exception processing, or similar mechanisms.","Documentation may need to cover error handling techniques at multiple layers, such as module, executable, compilable code unit, or callable.",,CWE-1059,,Other,Reduce Maintainability,,Scopes: Other | Impacts: Reduce Maintainability,,,,,,,
CWE-1119,Excessive Use of Unconditional Branching,"The code uses too many unconditional branches (such as ""goto"").",,,CWE-1120,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-112,Missing XML Validation,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.,"Most successful attacks begin with a violation of the programmer's assumptions. By accepting an XML document without validating it against a DTD or XML schema, the programmer leaves a door open for attackers to provide unexpected, unreasonable, or malicious input.","CAPEC-230, CAPEC-231","CWE-1286, CWE-20",,Integrity,Unexpected State,,Scopes: Integrity | Impacts: Unexpected State,Architecture and Design,Input Validation,,"Always validate XML input against a known XML Schema or DTD. It is not possible for an XML parser to validate all aspects of a document's content because a parser cannot understand the complete semantics of the data. However, a parser can do a complete and thorough job of checking the document's structure and therefore guarantee to the code that processes the document that the content is well-formed.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1120,Excessive Code Complexity,"The code is too complex, as calculated using a well-defined, quantitative measure.",,,CWE-710,,Other,"Reduce Maintainability, Increase Analytical Complexity, Reduce Performance","This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity, Reduce Performance | Notes: This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities. | This issue can make the product perform more slowly. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1121,Excessive McCabe Cyclomatic Complexity,The code contains McCabe cyclomatic complexity that exceeds a desirable maximum.,,,CWE-1120,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1122,Excessive Halstead Complexity,The code is structured in a way that a Halstead complexity measure exceeds a desirable maximum.,"A variety of Halstead complexity measures exist, such as program vocabulary size or volume.",,CWE-1120,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1123,Excessive Use of Self-Modifying Code,The product uses too much self-modifying code.,,,CWE-1120,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to understand or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to understand or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1124,Excessively Deep Nesting,The code contains a callable or other code grouping in which the nesting / branching is too deep.,,,CWE-1120,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,,,
CWE-1125,Excessive Attack Surface,The product has an attack surface whose quantitative measurement exceeds a desirable maximum.,"Originating from software security, an ""attack surface"" measure typically reflects the number of input points and output points that can be utilized by an untrusted party, i.e. a potential attacker. A larger attack surface provides more places to attack, and more opportunities for developers to introduce weaknesses. In some cases, this measure may reflect other aspects of quality besides security; e.g., a product with many inputs and outputs may require a large number of tests in order to improve code coverage.",,CWE-1120,,Other,Varies by Context,,Scopes: Other | Impacts: Varies by Context,,,,,,,
CWE-1126,Declaration of Variable with Unnecessarily Wide Scope,"The source code declares a variable in one scope, but the variable is only used within a narrower scope.",,,CWE-710,,Other,"Reduce Maintainability, Increase Analytical Complexity","This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability, Increase Analytical Complexity | Notes: This issue makes it more difficult to understand and/or maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-1127,Compilation with Insufficient Warnings or Errors,"The code is compiled without sufficient warnings enabled, which may prevent the detection of subtle bugs or quality issues.",,,CWE-710,,Other,Reduce Maintainability,"This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.","Scopes: Other | Impacts: Reduce Maintainability | Notes: This issue makes it more difficult to maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to introduce vulnerabilities.",,,,,Manual Analysis,,Inspect scripts and tools that invoke the compiler. Ensure that the appropriate command line switches and/or configuration are specified to report warnings and errors.
CWE-113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.","HTTP agents or components may include a web server, load balancer, reverse proxy, web caching proxy, application firewall, web browser, etc. Regardless of the role, they are expected to maintain coherent, consistent HTTP communication state across all components. However, including unexpected data in an HTTP header allows an attacker to specify the entirety of the HTTP message that is rendered by the client HTTP agent (e.g., web browser) or back-end HTTP agent (e.g., web server), whether the message is part of a request or a response. When an HTTP request contains unexpected CR and LF characters, the server may respond with an output stream that is interpreted as ""splitting"" the stream into two different HTTP messages instead of one. CR is carriage return, also given by %0d or \r, and LF is line feed, also given by %0a or \n. In addition to CR and LF characters, other valid/RFC compliant special characters and unique character encodings can be utilized, such as HT (horizontal tab, also given by %09 or \t) and SP (space, also given as + sign or %20). These types of unvalidated and unexpected data in HTTP message headers allow an attacker to control the second ""split"" message to mount attacks such as server-side request forgery, cross-site scripting, and cache poisoning attacks. HTTP response splitting weaknesses may be present when: Data enters a web application through an untrusted source, most frequently an HTTP request. The data is included in an HTTP response header sent to a web user without neutralizing malicious characters that can be interpreted as separator characters for headers.","CAPEC-105, CAPEC-31, CAPEC-34, CAPEC-85","CWE-93, CWE-20, CWE-436",,"Integrity, Access Control","Modify Application Data, Gain Privileges or Assume Identity","CR and LF characters in an HTTP header may give attackers control of the remaining headers and body of the message that the application intends to send/receive, as well as allowing them to create additional messages entirely under their control.","Scopes: Integrity, Access Control | Impacts: Modify Application Data, Gain Privileges or Assume Identity | Notes: CR and LF characters in an HTTP header may give attackers control of the remaining headers and body of the message that the application intends to send/receive, as well as allowing them to create additional messages entirely under their control.",Implementation,"Input Validation, Output Encoding",,"Construct HTTP headers very carefully, avoiding the use of non-validated input data. | Assume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. If an input does not strictly conform to specifications, reject it or transform it into something that conforms. When performing input validation, consider all potentially relevant properties, including length, type of input, the full range of acceptable values, missing or extra inputs, syntax, consistency across related fields, and conformance to business rules. As an example of business rule logic, ""boat"" may be syntactically valid because it only contains alphanumeric characters, but it is not valid if the input is only expected to contain colors such as ""red"" or ""blue."" Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright. | Use and specify an output encoding that can be handled by the downstream component that is reading the output. Common encodings include ISO-8859-1, UTF-7, and UTF-8. When an encoding is not specified, a downstream component may choose a different encoding, either by assuming a default encoding or automatically inferring which encoding is being used, which can be erroneous. When the encodings are inconsistent, the downstream component might treat some character or byte sequences as special, even if they are not special in the original encoding. Attackers might then be able to exploit this discrepancy and conduct injection attacks; they even might be able to bypass protection mechanisms that assume the original encoding is also being used by the downstream component. | Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-114,Process Control,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,"Process control vulnerabilities take two forms: An attacker can change the command that the program executes: the attacker explicitly controls what the command is. An attacker can change the environment in which the command executes: the attacker implicitly controls what the command means. Process control vulnerabilities of the first type occur when either data enters the application from an untrusted source and the data is used as part of a string representing a command that is executed by the application. By executing the command, the application gives an attacker a privilege or capability that the attacker would not otherwise have.","CAPEC-108, CAPEC-640","CWE-73, CWE-20",,"Confidentiality, Integrity, Availability",Execute Unauthorized Code or Commands,,"Scopes: Confidentiality, Integrity, Availability | Impacts: Execute Unauthorized Code or Commands",Architecture and Design,Libraries or Frameworks,,"Libraries that are loaded should be well understood and come from a trusted source. The application can execute code contained in the native libraries, which often contain calls that are susceptible to other security problems, such as buffer overflows or command injection. All native libraries should be validated to determine if the application requires the use of the library. It is very difficult to determine what these native libraries actually do, and the potential for malicious code is high. In addition, the potential for an inadvertent mistake in these native libraries is also high, as many are written in C or C++ and may be susceptible to buffer overflow or race condition problems. To help prevent buffer overflow attacks, validate all input to native calls for content and length. If the native library does not come from a trusted source, review the source code of the library. The library should be built from the reviewed source before using it.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-115,Misinterpretation of Input,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion.",,,CWE-436,,Integrity,Unexpected State,,Scopes: Integrity | Impacts: Unexpected State,,,,,Fuzzing,High,"Fuzz testing (fuzzing) is a powerful technique for generating large numbers of diverse inputs - either randomly or algorithmically - and dynamically invoking the code with those inputs. Even with random inputs, it is often capable of generating unexpected results such as crashes, memory corruption, or resource consumption. Fuzzing effectively produces repeatable test cases that clearly indicate bugs, which helps developers to diagnose the issues."
CWE-116,Improper Encoding or Escaping of Output,"The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.","Improper encoding or escaping can allow attackers to change the commands that are sent to another component, inserting malicious commands instead. Most products follow a certain protocol that uses structured messages for communication between components, such as queries or commands. These structured messages can contain raw data interspersed with metadata or control information. For example, ""GET /index.html HTTP/1.1"" is a structured message containing a command (""GET"") with a single argument (""/index.html"") and metadata about which protocol version is being used (""HTTP/1.1""). If an application uses attacker-supplied inputs to construct a structured message without properly encoding or escaping, then the attacker could insert special characters that will cause the data to be interpreted as control information or metadata. Consequently, the component that receives the output will perform the wrong operations, or otherwise interpret the data incorrectly.","CAPEC-104, CAPEC-73, CAPEC-81, CAPEC-85",CWE-707,,"Integrity, Confidentiality, Availability, Access Control","Modify Application Data, Execute Unauthorized Code or Commands, Bypass Protection Mechanism","The communications between components can be modified in unexpected ways. Unexpected commands can be executed, bypassing other security mechanisms. Incoming data can be misinterpreted.","Scopes: Integrity, Confidentiality, Availability, Access Control | Impacts: Modify Application Data, Execute Unauthorized Code or Commands, Bypass Protection Mechanism | Notes: The communications between components can be modified in unexpected ways. Unexpected commands can be executed, bypassing other security mechanisms. Incoming data can be misinterpreted.","Architecture and Design, Requirements, Implementation","Libraries or Frameworks, Parameterization",,"Use a vetted library or framework that does not allow this weakness to occur or provides constructs that make this weakness easier to avoid. For example, consider using the ESAPI Encoding control [REF-45] or a similar tool, library, or framework. These will help the programmer encode outputs in a manner less prone to error. Alternately, use built-in functions, but consider using wrappers in case those functions are discovered to have a vulnerability. | If available, use structured mechanisms that automatically enforce the separation between data and code. These mechanisms may be able to provide the relevant quoting, encoding, and validation automatically, instead of relying on the developer to provide this capability at every point where output is generated. For example, stored procedures can enforce database query structure and reduce the likelihood of SQL injection. | Understand the context in which your data will be used and the encoding that will be expected. This is especially important when transmitting data between different components, or when generating outputs that can contain multiple encodings at the same time, such as web pages or multi-part mail messages. Study all expected communication protocols and data representations to determine the required encoding strategies. | In some cases, input validation may be an important strategy when output encoding is not a complete solution. For example, you may be providing the same output that will be processed by multiple consumers that use different encodings or representations. In other cases, you may be required to allow user-supplied input to contain control information, such as limited HTML tags that support formatting in a wiki or bulletin board. When this type of requirement must be met, use an extremely strict allowlist to limit which control sequences can be used. Verify that the resulting syntactic structure is what you expect. Use your normal encoding methods for the remainder of the input. | Use input validation as a defense-in-depth measure to reduce the likelihood of output encoding errors (see CWE-20). | Fully specify which encodings are required by components that will be communicating with each other. | When exchanging data between components, ensure that both components are using the same character encoding. Ensure that the proper encoding is applied at each interface. Explicitly set the encoding you are using whenever the protocol allows you to do so.","Automated Static Analysis, Automated Dynamic Analysis",Moderate,"This weakness can often be detected using automated static analysis tools. Many modern tools use data flow analysis or constraint-based techniques to minimize the number of false positives. | This weakness can be detected using dynamic tools and techniques that interact with the software using large test suites with many diverse inputs, such as fuzz testing (fuzzing), robustness testing, and fault injection. The software's operation may slow down, but it should not become unstable, crash, or generate incorrect results."
CWE-1164,Irrelevant Code,"The product contains code that is not essential for execution, i.e. makes no state changes and has no side effects that alter data or control flow, such that removal of the code would have no impact to functionality or correctness.","Irrelevant code could include dead code, initialization that is not used, empty blocks, code that could be entirely removed due to optimization, etc.",,CWE-710,,Other,"Reduce Reliability, Reduce Performance",,"Scopes: Other | Impacts: Reduce Reliability, Reduce Performance",,,,,Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
